Waldort,WE-Typ,bz_rows,ba_rows,S,MA,Fl,LH,NH,Dring,Zeit,Bew,Sch,Rueck,Text
053A1,WO,0,6,1,LI,1.5,0,160,1,2,2,4,35,"TA fördern, FI entnehmen und Kronenpflege bei LA/KI"
053A2,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
053A3,WO,0,2,1,DF,1.17,0,70,3,1,2,4,35,0
053A4,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
053B1,WO,0,5,1,PL,1.5,0,230,1,2,2,4,35,TA erhalten KI geringe Kronen entnehmen
053B2,WO,0,2,1,DF,2.2,0,170,2,1,2,4,35,0
053C1,WO,0,5,1,LI,1.6,0,190,1,2,2,4,35,TA unbedingt erhalten
053C2,WO,0,4,1,DF,2.36,0,70,3,1,2,4,35,ende Dezennium Kontrolle ob erneut DF
053D1,WO,0,4,1,LI,1.5,0,170,1,2,2,2,23,alternativ händisch
053D2,WO,0,2,1,DF,1.4,0,100,1,1,2,4,35,"Seil Harvester, oder Seil bergauf"
053D3,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
053E0,WO,0,5,1,ZV,0.0,0,140,3,1,2,4,35,0
053F1,WO,0,3,1,LI,1.5,0,160,1,2,2,4,35,Am O Rand
053F2,WO,0,3,1,DF,1.7,0,120,2,1,2,4,35,Mischbaumarten erhalten!
053F3,WO,0,1,1,DE,0.38,0,10,1,1,2,4,35,0
053G1,WO,0,3,1,JF,0.8,0,90,1,1,2,4,35,TA VJ möglichst schonen!
053G2,WO,0,2,1,DF,1.65,0,100,1,1,2,4,35,Mischbaumarten erhalten
053H1,WO,0,3,1,PL,1.0,0,100,1,2,2,2,23,"im S KI entnehmen, TA fördern"
053H2,WO,0,5,1,DF,0.74,0,40,1,1,2,2,30,QP fördern Kronenpflege bei KI/DG
053I0,WO,0,9,0,0,0.0,0,0,0,0,0,0,0,0
053J0,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
053K1,WO,0,1,1,DF,1.5,0,110,1,1,2,4,35,0
053K2,WO,0,1,1,DF,0.78,0,50,1,1,2,4,35,"Kronenpflege KI, BU fördern"
053K3,WO,0,2,1,DF,6.3,0,490,1,1,2,4,35,KI Kronen retten
053K4,WO,0,2,1,DF,3.0,0,200,1,1,2,4,35,0
053L1,WO,0,3,1,AD,1.04,0,210,2,2,2,4,35,0
053L2,WO,0,3,1,ZV,0.0,0,50,3,1,2,4,35,0
053L3,WO,0,1,1,DF,0.39,0,10,1,1,2,4,35,"Kronenpflege, Mistelbefall"
053M1,WO,0,6,1,JF,0.6,0,60,1,1,2,4,35,"ältere TA freistellen, schwachkronige KI entnehmen"
053M2,WO,0,1,1,DF,1.98,0,90,3,1,2,4,35,"DG, raschwüchsig!"
053M3,WO,0,6,0,0,0.0,0,0,0,0,0,0,0,0
053M4,WO,0,2,1,DE,2.5,0,90,1,1,2,4,35,0
053M5,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
053M6,WO,0,3,1,DP,0.16,0,0,1,1,1,0,0,"DG zurückdrängen, QP erhalten"
053N0,WO,0,5,1,JF,1.2,20,80,2,1,2,1,30,0
053O0,WO,0,4,1,JF,1.0,0,80,1,1,2,4,35,0
053P1,WO,0,6,1,DE,0.82,0,60,1,1,2,4,35,TA und Mischbaumarten fördern
053P2,WO,0,4,1,DE,0.85,0,50,1,1,2,4,35,Mischbaumarten fördern
053Q1,WO,0,8,0,0,0.0,0,0,0,0,0,0,0,0
053Q2,WO,0,5,1,DF,2.0,0,140,2,1,2,4,35,"TA/LA/BU fördern, FI und geringwüchsig KI entnehmen"
05331,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05332,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05333,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05334,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
054A1,WO,0,4,1,PL,0.86,0,50,1,1,2,4,35,Beischlägerung
054A2,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
054A3,WO,0,3,1,DF,2.5,0,60,2,1,2,4,35,LH freistellen!
054A4,WO,0,1,0,0,0.0,0,0,0,0,0,0,0,0
054A5,WO,0,3,1,DF,0.44,0,10,1,1,2,3,30,geringer Massenanfall
054A6,WO,0,1,1,DE,2.7,0,100,2,1,2,4,35,0
054A7,WO,0,1,0,0,0.0,0,0,0,0,0,0,0,0
054B1,WO,0,2,1,ZE,0.0,0,40,3,1,2,2,30,0
054B2,WO,0,3,1,DF,0.9,10,50,1,1,2,4,35,0
054B3,WO,0,2,1,DE,0.26,0,10,1,1,2,2,30,0
054B4,WO,0,5,0,0,0.0,0,0,0,0,0,0,0,0
054B5,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
054B6,WO,0,4,1,DE,2.5,30,80,2,1,2,3,30,0
054C1,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
054C2,WO,0,1,0,0,0.0,0,0,0,0,0,0,0,0
054D1,WO,0,2,1,DF,1.1,0,60,1,1,2,4,35,Negativauslese
054D2,WO,0,1,1,ND,0.5,0,30,2,1,2,2,30,EI freistellen
054D3,WO,0,1,0,0,0.0,0,0,0,0,0,0,0,0
054E1,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
054E2,WO,0,1,1,DF,1.66,0,120,1,1,2,4,35,Eiche fördern!
054E3,WO,0,3,1,ZV,0.0,0,30,3,1,2,4,35,0
054E4,WO,0,5,1,ZE,0.0,0,30,3,1,3,4,35,AG Käferbefall aufarbeiten!
054E5,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
054E6,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
054E7,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
054F1,WO,0,4,1,ZV,0.0,0,60,3,1,2,2,30,0
054F2,WO,0,3,1,DF,1.5,20,70,2,1,2,2,30,0
054F3,WO,0,2,1,DE,0.3,0,10,2,1,2,3,30,0
054G1,WO,0,5,1,DP,1.0,0,0,2,1,1,0,0,"LH erhalten, droht auszufallen"
054G2,WO,0,6,2,JP,0.7,0,0,1,1,1,0,0,Brombeere niederschneiden
054G3,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
054H1,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
054H2,WO,0,5,0,0,0.0,0,0,0,0,0,0,0,0
054H3,WO,0,3,1,DE,1.2,10,0,1,1,2,3,10,FI/KI freistellen
054I0,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
054J1,WO,0,5,0,0,0.0,0,0,0,0,0,0,0,0
054J2,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
054K1,WO,0,8,1,JF,0.8,0,60,1,1,2,4,35,labile NH entnehmen
054K2,WO,0,3,1,DF,0.3,0,10,1,1,2,4,35,LA/KI retten
054L1,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
054L2,WO,0,4,1,JF,0.7,0,70,2,1,2,1,30,0
054L3,WO,0,1,1,DF,0.2,0,10,1,1,2,1,31,0
054M0,WO,0,4,1,SB,1.0,0,80,1,1,2,2,30,kümmernde KI entnehmen
054N1,WO,0,3,1,DF,1.13,0,70,1,1,2,4,35,gemeinsam mit N2 und N3 nutzen
054N2,WO,0,2,1,DE,0.93,0,40,1,1,2,4,35,gemeinsam mit N2 und N1 nutzen
054N3,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
054O1,WO,0,5,1,PL,1.0,0,80,1,2,2,2,30,"KI entnehmen, sterben ab!"
054O2,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
054O3,WO,0,4,1,DE,0.0,0,100,1,1,2,3,30,LI/QP/KI fördern!
054P0,WO,0,1,1,ND,5.0,0,300,1,1,2,4,35,0
054Q0,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
054R1,WO,0,2,1,DF,4.0,0,230,1,1,2,4,35,0
054R2,WO,0,1,1,DF,1.69,0,150,1,1,2,4,35,LH fördern
054R3,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
054T0,WO,0,5,0,0,0.0,0,0,0,0,0,0,0,0
054X0,WO,0,1,1,LI,0.3,10,20,1,1,2,4,35,0
05431,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05441,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05442,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05443,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
055A1,WO,0,5,0,0,0.0,0,0,0,0,0,0,0,0
055A2,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
055A3,WO,0,5,2,DF,0.36,0,10,1,1,2,1,31,"labile KI entnehmen, gute QP fördern"
055B1,WO,0,8,0,0,0.0,0,0,0,0,0,0,0,0
055B2,WO,0,5,0,0,0.0,0,0,0,0,0,0,0,0
055C1,WO,0,6,1,ZV,0.0,0,30,3,2,2,1,31,0
055C2,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
05551,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05591,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
057A0,WO,0,2,1,DF,0.6,0,30,1,1,2,4,35,QP im S freistellen
057B1,WO,0,6,0,0,0.0,0,0,0,0,0,0,0,0
057B2,WO,0,3,0,0,0.0,0,0,0,0,0,0,0,0
057B3,WO,0,2,0,0,0.0,0,0,0,0,0,0,0,0
057C0,WO,0,2,1,DF,5.8,0,400,1,1,2,4,35,KI Kronenpflege!
057D0,WO,0,3,1,DF,1.0,60,0,1,1,2,4,35,Mastjahr abwarten
057E0,WO,0,5,0,0,0.0,0,0,0,0,0,0,0,0
057F1,WO,0,4,2,EG,0.3,0,0,1,1,1,0,0,"FI ergänzen möglich, altetnativ Fläche als Schwarzstorch Habitat nutzen"
057F2,WO,0,4,0,0,0.0,0,0,0,0,0,0,0,0
057G1,WO,0,3,1,DF,1.0,30,30,1,1,2,1,31,"ES und einzelne FI entnehmen, LH VJ nicht verlieren"
057G2,WO,0,1,0,0,0.0,0,0,0,0,0,0,0,0
05711,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
05751,NG,0,0,0,0,0.0,0,0,0,0,0,0,0,0
