Waldort,WE-Typ,ST,BE,MA
053A1,WO,"ST im N steiler sowie tiefgründiger, örtl Bergschwingel","BE im S mehr KI, im N mehr FI, im NO mehr LÄ sowie lichter, zlr TA, gute KI-LÄ-Qualität, jedoch teils absterbend, TA gute Zuwächse","MA LI: TA fördern, FI und geringkronige LA/KI entnehmen"
053A2,WO,"ST STOE 71/72","BE BI, ein KI, FI-reicher im W-Spitz, FI-Streifen im N lgs Str - dort s ungleichaltrig mit ein TA-UE","MA geastet, EDF 2005, DF 2021, ende Dez. Kontrolle ob weitere DF nötig"
053A3,WO,"ST STOE 71/72","BE mehr LH im S - dort auch zlr BI","MA geastet, EDF 2005, DF 2021, weitere DF ende Dezennium"
053A4,WO,"ST STOE 71/72","BE bis 5 J älter, LA teils bereits kleine Krone","MA tlw EDF 2005, DF 2021, weitere DF nächstes Dez. LÄ weitrr fördern"
053B1,WO,"ST im S STOE 71, dicht","BE FI grtls in N-Hälfte - dort auch eiz KO, ein TA im NW, LÄ im S, im N KI mit 7. Bonität, Zwibest mit wirtschaftlichem Alter geschätzt, FI durch Käferbefall und Kümmerwuchs ausfallend",MA LI/PL TA unbedingt erhalten
053B2,WO,,,
053C1,WO,ST STOE 71 sowie flacher im O,"BE mehr FI im NW, zlr TA im O, Zwibest mit wirtschaftlichem Alter geschätzt, KI-Bon 5-7, FI-Bon 7/8 - im N bis 8/9, Wertleistung noch zufriedenstellend","MA LI VJ einleiten, TA Anteil erhalten, ZV"
053C2,WO,,"BE LH überwachsen und kümmernd, BI fällt aus","MA EDF 2005, geastet, DF 2021, ZE 2020, ende Dez. kontrolle ob erneut DF notwendig"
053D1,WO,"ST s karg sowie steil - v a zw D2 Rücken, Weissmoos","BE mehr FI sowie ein TA im O, Zwibest mit wirtschaftlichem Alter geschätzt, KI-Bon 4-5, grtls s schwach und zuwachsarm da DF verabsäumt, Stammzahlreich,etwas Totholz",
053D2,WO,"ST 2 Teile, Geländekante etwa in Mitte, im S flacher, im N bis 30°","BE dicht keine Vegetation am Boden, BI ausfallend","MA EDF 2006, geastet, 2016 Schäden Käfer, DF Mischbaumarten erhalten"
053D3,WO,,,
053E0,WO,"ST wüchsiger sanfter Graben - begrenzt von seichtgründigeren Rücken, im N steilere Partien","BE KI im N schon s stark - jedoch auch s starkastig, FI/TA reiche Jungschicht mit wirtschaftlichem Alter geschätzt, KI-Bon 7 im N, 5 im SO","MA LI/JF ab 2025, TA erhalten! NVJ fördern"
053F1,WO,"ST im N wüchsiger mit STOE 72, im S s karg","BE Jgw/Zwibest +/- 10 J mit wirtschaftlichem Alter geschätzt, KI-Bon 4(3) im S, im SO angeblich KI-Altholz, grtls s schwach","MA vorzeitige Nutzung wg geringer Wertleistung (JF/LI), Streifen im S bei Jhtt belassen"
053F2,WO,ST STOE 71/72,"BE mehr BI im S durch Dichtstand ausfallend, BU eher im N","MA geastet, EDF 2006, DF"
053F3,WO,ST Oberhang,"BE Auff 2003, ein LH KI, ein schöne BU-UE - darunter auch aufgeforstet","MA AG 2018, DE"
053G1,WO,"ST STOE 72/71, besserer Standort als in F1","BE VJ +/- 10 J mit wirtschaftlichem Alter geschätzt, flächig vorhanden, Altbestand schwach da nie ernsthaft durchforstet, KI nur geringe Zuwächse aber mit tls guter Qualität",MA JF/RM am O Rand
053G2,WO,"ST STOE 72/71, steiler im N","BE ein BU EI, geastet, im NO an Bestandesrand Thuje!","MA EDF 2006, Schäden Käfer 2014, DF Mischbaumarten fördern"
