Waldort,WE-Typ,U,I_A,W_S,SW,STOE,VTYP,UELH,UENH,VB
053A1,WO,200,A,S,S,32,0,0,0,1
053A2,WO,0,0,0,0,0,0,0,30,2
053A3,WO,0,0,0,0,0,0,40,50,0
053A4,WO,0,0,0,0,0,0,0,20,5
053B1,WO,0,0,0,0,0,0,0,0,0
053B2,WO,0,0,0,0,0,0,0,0,0
053C1,WO,0,0,0,0,0,0,0,0,0
053C2,WO,0,0,0,0,0,0,0,0,0
053D1,WO,0,0,0,0,0,0,0,0,0
053D2,WO,0,0,0,0,0,0,0,0,0
053D3,WO,0,0,0,0,0,0,0,0,0
053E0,WO,0,0,0,0,0,0,0,0,0
053F1,WO,0,0,0,0,0,0,0,0,0
053F2,WO,0,0,0,0,0,0,0,0,0
053F3,WO,0,0,0,0,0,0,0,0,0
053G1,WO,0,0,0,0,0,0,0,0,0
053G2,WO,0,0,0,0,0,0,0,0,0
053H1,WO,0,0,0,0,0,0,0,0,0
053H2,WO,0,0,0,0,0,0,0,0,0
053I0,WO,0,0,0,0,0,0,0,0,0
053J0,WO,140,0,0,0,0,0,0,0,0
053K1,WO,0,0,0,0,0,0,0,0,0
053K2,WO,0,0,0,0,0,0,0,0,0
053K3,WO,0,0,0,0,0,0,0,0,0
053K4,WO,0,0,0,0,0,0,0,0,0
053L1,WO,0,0,0,0,0,0,0,0,0
053L2,WO,0,0,0,0,0,0,0,0,0
053L3,WO,0,0,0,0,0,0,0,0,0
053M1,WO,0,0,0,0,0,0,0,0,0
053M2,WO,0,0,0,0,0,0,0,0,0
053M3,WO,0,0,0,0,0,0,0,0,0
053M4,WO,0,0,0,0,0,0,40,0,0
053M5,WO,0,0,0,0,0,0,0,0,0
053M6,WO,0,0,0,0,0,0,0,0,0
053N0,WO,0,0,0,0,0,0,0,0,0
053O0,WO,0,0,0,0,0,0,0,0,0
053P1,WO,0,0,0,0,0,0,0,0,0
053P2,WO,0,0,0,0,0,0,0,0,0
053Q1,WO,0,0,0,0,0,0,0,0,0
053Q2,WO,0,0,0,0,0,0,0,0,0
05331,NG,0,0,0,0,0,0,0,0,0
05332,NG,0,0,0,0,0,0,0,0,0
05333,NG,0,0,0,0,0,0,0,0,0
05334,NG,0,0,0,0,0,0,0,0,0
054A1,WO,0,0,0,0,0,0,0,0,0
054A2,WO,0,0,0,0,0,0,0,0,0
054A3,WO,0,0,0,0,0,0,0,0,0
054A4,WO,0,0,0,0,0,0,0,0,0
054A5,WO,0,0,0,0,0,0,0,0,0
054A6,WO,0,0,0,0,0,0,0,0,0
054A7,WO,0,0,0,0,0,0,0,0,0
054B1,WO,0,0,0,0,0,0,0,0,0
054B2,WO,0,0,0,0,0,0,0,0,0
054B3,WO,0,0,0,0,0,0,0,0,0
054B4,WO,0,0,0,0,0,0,0,0,0
054B5,WO,0,0,0,0,0,0,0,0,0
054B6,WO,0,0,0,0,0,0,0,0,0
054C1,WO,0,0,0,0,0,0,0,0,0
054C2,WO,0,0,0,0,0,0,0,0,0
054D1,WO,0,0,0,0,0,0,0,0,0
054D2,WO,0,0,0,0,0,0,0,0,0
054D3,WO,0,0,0,0,0,0,0,0,0
054E1,WO,0,0,0,0,0,0,0,0,0
054E2,WO,0,0,0,0,0,0,0,0,0
054E3,WO,0,0,0,0,0,0,0,0,0
054E4,WO,0,0,0,0,0,0,0,0,0
054E5,WO,0,0,0,0,0,0,0,0,0
054E6,WO,0,0,0,0,0,0,0,0,0
054E7,WO,0,0,0,0,0,0,0,0,0
054F1,WO,0,0,0,0,0,0,0,0,0
054F2,WO,0,0,0,0,0,0,0,0,0
054F3,WO,0,0,0,0,0,0,0,0,0
054G1,WO,0,0,0,0,0,0,0,0,0
054G2,WO,0,0,0,0,0,0,0,0,4
054G3,WO,0,0,0,0,0,0,0,0,0
054H1,WO,120,0,0,0,0,0,0,0,0
054H2,WO,0,0,0,0,0,0,0,0,0
054H3,WO,0,0,0,0,0,0,0,0,0
054I0,WO,0,0,0,0,0,0,0,0,0
054J1,WO,0,0,0,0,0,0,0,0,0
054J2,WO,0,0,0,0,0,0,0,0,0
054K1,WO,0,0,0,0,0,0,0,0,0
054K2,WO,0,0,0,0,0,0,0,0,0
054L1,WO,0,0,0,0,0,0,0,0,0
054L2,WO,0,0,0,0,0,0,0,0,0
054L3,WO,0,0,0,0,0,0,0,0,0
054M0,WO,0,0,0,0,0,0,0,0,0
054N1,WO,0,0,0,0,0,0,0,0,0
054N2,WO,0,0,0,0,0,0,0,0,0
054N3,WO,0,0,0,0,0,0,0,0,0
054O1,WO,0,0,0,0,0,0,0,0,0
054O2,WO,0,0,0,0,0,0,0,0,0
054O3,WO,0,0,0,0,0,0,0,0,0
054P0,WO,0,0,0,0,0,0,0,0,5
054Q0,WO,0,0,0,0,0,0,0,0,0
054R1,WO,0,0,0,0,0,0,0,0,0
054R2,WO,0,0,0,0,0,0,0,0,0
054R3,WO,0,0,0,0,0,0,0,0,0
054T0,WO,0,0,0,0,0,0,0,0,0
054X0,WO,140,0,0,0,72,0,0,0,0
05431,NG,0,0,0,0,0,0,0,0,0
05441,NG,0,0,0,0,0,0,0,0,0
05442,NG,0,0,0,0,0,0,0,0,0
05443,NG,0,0,0,0,0,0,0,0,0
055A1,WO,0,0,0,0,0,0,0,0,0
055A2,WO,0,0,0,0,0,0,0,0,0
055A3,WO,0,0,0,0,0,0,0,0,0
055B1,WO,200,A,S,S,0,0,0,0,0
055B2,WO,0,0,0,0,0,0,0,0,0
055C1,WO,0,0,0,0,0,0,0,0,0
055C2,WO,0,0,0,0,0,0,0,0,0
05551,NG,0,0,0,0,0,0,0,0,0
05591,NG,0,0,0,0,0,0,0,0,0
057A0,WO,0,0,0,0,0,0,0,0,0
057B1,WO,0,0,0,0,0,0,0,0,0
057B2,WO,0,0,0,0,0,0,0,0,0
057B3,WO,0,0,0,0,0,0,0,0,0
057C0,WO,0,0,0,0,0,0,0,0,0
057D0,WO,0,0,0,0,72,0,0,0,0
057E0,WO,0,0,0,0,0,0,0,0,0
057F1,WO,0,0,0,0,0,0,0,0,0
057F2,WO,0,0,0,0,0,0,0,0,0
057G1,WO,0,0,0,0,0,0,0,0,0
057G2,WO,0,0,0,0,0,0,0,0,0
05711,NG,0,0,0,0,0,0,0,0,0
05751,NG,0,0,0,0,0,0,0,0,0
05752,NG,0,0,0,0,0,0,0,0,0
05753,NG,0,0,0,0,0,0,0,0,0
058A1,WO,0,0,0,0,0,0,0,0,0
058A2,WO,0,0,0,0,0,0,0,0,0
058A3,WO,0,0,0,0,0,0,0,0,0
058A4,WO,0,0,0,0,72,0,0,0,0
058A5,WO,0,0,0,0,0,0,0,0,0
058A6,WO,0,0,0,0,0,0,0,0,0
058B1,WO,0,0,0,0,0,0,0,0,0
058B2,WO,0,0,0,0,0,0,0,0,0
058B3,WO,0,0,0,0,0,0,0,0,0
058C1,WO,0,0,0,0,0,0,0,0,0
058C2,WO,0,0,0,0,0,0,0,0,0
058C3,WO,0,0,0,0,0,0,0,0,0
058C4,WO,0,0,0,0,0,0,0,0,0
058D1,WO,0,0,0,0,0,0,0,0,0
058D2,WO,0,0,0,0,0,0,0,0,0
058D3,WO,0,0,0,0,0,0,0,0,0
058D4,WO,0,0,0,0,0,0,0,0,0
058D5,WO,0,0,0,0,0,0,0,0,0
058E1,WO,0,0,0,0,0,0,0,0,0
